Class,HP,Str,Mag,Skl,Spd,Def,Mdf,Mov
Social Knight,30,7,0,6,6,6,0,8
Lance Knight,30,7,0,6,6,6,0,8
Arch Knight,30,7,0,6,6,6,0,8
Axe Knight,30,7,0,6,6,6,0,8
Free Knight,30,7,0,6,6,6,0,8
Troubadour,26,3,3,6,6,3,3,8
Lord Knight,40,10,0,7,7,7,3,9
Duke Knight,40,12,0,7,7,8,3,9
Master Knight,40,12,7,12,12,12,7,9
Paladin (M),40,9,5,9,9,9,5,9
Paladin (F),40,9,5,9,9,9,5,9
Bow Knight,40,10,0,8,8,8,3,9
Forrest Knight,40,8,0,15,12,8,3,9
Mage Knight,40,5,10,7,7,5,7,9
Great Knight,40,12,0,7,7,10,3,9
Pegasus Rider *,30,6,0,5,10,3,5,8
Pegasus Knight,35,7,0,7,12,5,7,8
Falcon Knight,40,7,7,12,15,6,12,8
Dragon Rider,35,9,0,5,5,8,0,9
Dragon Knight,40,10,0,7,6,11,0,9
Dragon Master,40,12,0,9,7,14,0,9
Bow Fighter,30,7,0,10,10,5,0,6
Swordfighter,30,7,0,10,10,5,0,6
Swordmaster,40,12,0,15,15,7,3,6
Sniper,40,12,0,12,12,7,3,6
Forrest,40,12,3,12,12,7,3,6
General,40,10,0,6,5,12,3,5
Emperor,45,15,15,15,15,15,15,5
Baron,45,12,7,7,7,12,7,5
Soldier *,30,6,0,5,5,7,0,6
Spear Soldier *,30,6,0,5,5,7,0,6
Axe Soldier *,30,6,0,5,5,7,0,6
Archer *,30,6,0,5,5,7,0,6
Sword Soldier *,30,6,0,5,5,7,0,6
Armour,40,9,0,5,3,10,0,5
Axe Armour,40,9,0,5,3,10,0,5
Bow Armour,40,9,0,5,3,10,0,5
Sword Armour,40,9,0,5,3,10,0,5
Barbarian,35,5,0,0,7,5,0,6
Axe Fighter,35,8,0,3,10,8,0,6
Mountain Thief,35,5,0,0,7,5,0,6
Warrior,40,11,0,5,12,10,3,6
Hunter,35,7,0,0,7,5,0,6
Pirate,35,5,0,0,7,5,0,6
Junior Lord,30,5,0,5,5,5,0,6
Mage Fighter (M),30,5,12,10,10,7,7,6
Prince,30,8,3,7,6,7,3,6
Princess,26,5,7,5,8,5,7,6
Mage Fighter (F),26,3,12,9,12,5,10,6
Queen,35,5,15,10,12,10,15,6
Dancer,26,3,0,1,7,1,3,6
Priest,26,0,7,6,6,1,7,5
Mage,26,0,7,6,6,1,5,5
Fire Mage,26,0,10,6,6,1,5,5
Thunder Mage,26,0,7,9,6,1,5,5
Wind Mage,26,0,7,6,9,1,5,5
High Priest,35,0,12,9,8,3,8,5
Bishop,35,0,10,8,5,3,8,5
Sage,35,0,15,12,15,3,12,6
Bard,30,0,7,7,10,3,7,6
Shaman,30,0,8,7,7,3,10,5
Dark Mage,40,0,10,8,8,7,10,5
Dark Bishop,40,0,15,10,10,10,12,5
Thief,26,3,0,3,7,1,0,6
Thief Fighter,30,7,3,7,12,5,3,7
Civilian,20,0,0,0,10,2,0,5
Child,20,0,0,0,0,0,0,5
Long Arch,30,0,0,0,0,0,0,0
Iron Arch,30,0,0,0,0,10,0,0
Killer Arch,30,0,0,0,0,0,0,0
Great Arch *,30,0,0,0,0,0,0,0
Dark Prince,30,0,15,12,12,10,15,5
