Class,HP,Str,Mag,Skl,Spd,Lck,Def,Bld,Mov
Lord,18,4,0,2,3,0,2,5,6
Prince,18,5,1,3,4,0,3,5,6
Sword Fighter (M),20,3,0,5,6,0,2,6,6
Sword Master (M),24,5,1,8,9,0,4,6,7
Sword Fighter (F),18,2,0,5,7,0,2,5,6
Sword Master (F),20,4,1,8,10,0,4,5,7
Mercenary (F),20,5,1,7,9,0,5,7,6
Axe Fighter,20,4,0,4,5,0,2,8,6
Mercenary (M),24,6,1,7,8,0,5,8,6
Bow Fighter (M),18,3,0,3,4,0,1,6,7
Sniper (M),22,5,1,6,7,0,3,7,7
Bow Fighter (F),16,2,0,3,5,0,1,4,6
Sniper (F),20,4,1,6,8,0,3,5,7
Thief (M),16,1,0,1,6,0,0,5,7
Thief Fighter (M),18,4,1,3,8,0,2,6,7
Thief (F),14,0,0,1,7,0,0,3,7
Thief Fighter (F),16,3,1,3,9,0,2,4,7
(Wind) Mage (M),18,0,2,2,3,0,0,4,6
Bard,16,0,1,1,5,0,0,4,6
Sage (M),20,0,7,7,9,0,4,5,7
Sister,14,0,1,2,5,0,0,3,5
Sage (F),16,0,7,7,10,0,3,4,7
(Wind) Mage (F),16,0,2,1,4,0,0,3,6
Mage Knight (F),18,3,4,4,5,0,3,4,8
"Mage Knight (F, D)",18,2,4,3,4,0,2,4,5
Mage Knight (M),20,3,3,5,4,0,4,6,8
"Mage Knight (M, D)",20,2,3,4,3,0,3,6,5
Loputo Mage,18,0,2,2,3,0,0,4,6
Dark Mage,24,0,5,4,3,0,4,5,6
Priest (M),16,0,3,2,1,0,0,4,5
High Priest (M),18,0,6,3,2,0,1,4,6
Priest (F),14,0,3,1,2,0,0,3,5
High Priest (F),16,0,6,2,3,0,1,3,6
Mountain Thief (1),22,5,0,0,0,0,3,9,6
Warrior,28,8,1,5,6,0,6,10,6
Dancer,14,0,0,0,2,0,0,3,6
Axe Armour,20,4,0,0,0,0,8,9,5
General,26,7,1,5,2,0,12,10,6
Social Knight,20,3,0,3,4,0,3,6,8
Social Knight (D),20,2,0,2,2,0,2,6,5
Paladin (M),24,5,1,6,6,0,5,7,9
"Paladin (M, D)",24,4,1,5,4,0,4,7,6
Troubadour,16,2,2,2,3,0,2,4,8
Troubadour (D),16,1,2,2,2,0,1,4,5
Paladin (F),20,3,5,3,6,0,3,5,9
"Paladin (F, D)",20,2,5,3,5,0,2,5,6
Lance Knight,20,3,0,3,4,0,3,7,8
Lance Knight (D),20,2,0,2,2,0,2,7,5
Duke Knight,24,5,1,6,6,0,5,8,9
Duke Knight (D),24,4,1,5,4,0,4,8,6
Axe Knight,20,3,0,3,4,0,3,8,8
Axe Knight (D),20,2,0,2,2,0,2,8,5
Great Knight,24,5,1,6,6,0,5,9,9
Great Knight (D),24,4,1,5,4,0,4,9,6
Free Knight,20,3,0,3,4,0,3,6,8
Free Knight (D),20,2,0,3,4,0,2,6,5
Forest Knight,24,5,1,6,7,0,5,7,9
Forest Knight (D),24,5,1,6,7,0,4,7,6
Arch Knight (M),20,3,0,3,4,0,3,6,8
"Arch Knight (M, D)",20,2,0,2,2,0,2,6,5
Bow Knight (M),24,5,1,6,6,0,5,7,9
"Bow Knight (M, D)",24,4,1,5,4,0,4,7,6
Arch Knight (F),16,2,0,3,5,0,3,4,8
"Arch Knight (F, D)",16,1,0,2,3,0,2,4,5
Bow Knight (F),20,4,1,6,7,0,5,5,9
"Bow Knight (F, D)",20,3,1,5,5,0,4,5,6
Pegasus Rider,16,2,3,3,6,0,2,4,8
Pegasus Rider (D),16,1,3,2,4,0,1,4,5
Pegasus Knight,18,4,5,5,8,0,3,5,9
Pegasus Knight (D),18,3,5,4,6,0,2,5,6
Dragon Knight (M),24,7,1,6,6,0,9,8,9
"Dragon Knight (M, D)",24,4,1,4,4,0,4,8,6
Dragon Rider (F),16,5,0,3,4,0,7,4,8
"Dragon Rider (F, D)",16,2,0,1,2,0,2,4,5
Dragon Knight (F),20,7,1,6,6,0,9,5,9
"Dragon Knight (F, D)",20,4,1,4,4,0,4,5,6
Soldier,20,3,0,0,0,0,1,6,5
Archer,20,3,0,0,0,0,1,6,5
Hunter,20,3,0,0,0,0,2,8,6
Pirate,24,5,0,0,0,0,3,9,5
Berserker,32,12,0,12,10,0,8,12,7
Mountain Thief (2),24,5,0,0,0,0,3,9,6
Lance Armour,20,4,0,0,0,0,8,9,5
Bow Armour,20,4,0,0,0,0,8,9,5
Sword Armour,20,4,0,0,0,0,8,9,5
Baron,26,10,3,6,3,0,15,10,6
Dragon Rider (M),20,5,0,3,4,0,7,7,8
"Dragon Rider (M, D)",18,4,7,6,8,0,4,6,4
(Thunder) Mage (M),18,0,2,2,3,0,0,4,6
(Thunder) Mage (F),16,0,2,1,4,0,0,3,6
Bishop,20,0,5,2,2,0,1,4,5
Dark Bishop,30,0,9,6,6,0,6,5,6
Civilian,0,0,0,0,0,0,0,0,2
Long Arch,20,4,0,3,0,0,5,6,0
Iron Arch,20,4,0,5,0,0,12,6,0
Killer Arch,20,4,0,10,0,0,8,6,0
Poison Arch,20,4,0,3,0,0,5,20,0
Lord Knight,18,5,1,3,4,0,4,5,9
Lord Knight (D),16,1,2,2,2,0,1,9,6
Master Knight (M),24,6,2,7,7,0,6,9,10
"Master Knight (M, D)",24,5,3,6,5,0,5,9,6
Master Knight (F),20,5,3,7,8,0,6,6,10
"Master Knight (F, D)",20,4,3,6,6,0,5,6,6
Falcon Knight,18,6,7,7,10,0,5,6,10
Falcon Knight (D),18,4,7,6,8,0,4,6,6
Dragon Master (M),20,3,5,3,6,0,3,8,10
"Dragon Master (M, D)",18,4,7,6,8,0,4,9,5
Dragon Master (F),20,9,3,7,7,0,10,6,10
"Dragon Master (F, D)",20,6,3,5,5,0,5,6,6
Forest (M),24,6,1,7,8,0,5,5,5
Forest (F),20,5,1,7,9,0,5,5,6
Emperor,26,7,1,5,2,0,12,5,5
Junior Lord,20,6,1,4,4,0,3,5,5
Baron (F),24,8,5,6,4,0,14,9,5
Mage (M),18,0,2,2,3,0,0,4,6
(Pink) Mage (M),16,0,2,1,4,0,0,3,6
Dark Prince,50,0,20,20,20,0,20,5,7
