Class,HP,S/M,Skl,Spd,Def,Res,Con,Mov
Lord,18,3,3,4,5,0,6,5
Master Lord,22,5,6,6,7,5,8,6
Bard,14,1,2,7,1,0,6,5
Dancer,14,1,2,7,0,1,4,5
Transporter,15,0,3,3,3,0,25,5
Mercenary (M),18,4,8,8,4,0,9,5
Mercenary (F),16,3,5,6,2,0,8,5
Hero (M),22,6,9,10,8,2,10,6
Hero (F),22,6,10,11,6,3,9,6
Myrmidon (M),16,4,9,9,2,0,8,5
Myrmidon (F),15,3,9,10,1,1,5,5
Swordmaster (M),21,6,11,10,5,2,9,6
Swordmaster (F),19,6,11,12,4,3,6,6
Thief (M),16,3,1,9,2,0,6,6
Thief (F),16,1,1,7,1,1,5,6
Soldier,20,3,0,1,0,0,6,5
Cavalier (M),20,5,2,5,6,0,9,7
Cavalier (F),18,5,3,3,6,0,9,7
Paladin (M),23,7,4,7,8,3,11,8
Paladin (F),23,6,6,11,7,6,10,8
Knight (M),17,5,2,0,9,0,13,4
Knight (F),16,4,3,1,8,1,10,4
General (M),21,8,4,3,13,3,15,5
General (F),20,8,5,5,11,4,11,5
Fighter,20,5,2,4,2,0,11,5
Warrior,28,8,5,6,5,0,13,6
Brigand,20,5,1,5,3,0,12,5
Pirate,19,4,2,6,3,0,10,5
Berserker,24,7,6,7,6,0,13,6
Archer (M),18,4,3,3,3,0,7,5
Archer (F),17,3,3,4,3,0,6,5
Sniper (M),21,7,6,5,5,2,8,6
Sniper (F),19,6,6,7,5,3,7,6
Nomad (M),16,5,4,5,4,0,7,7
Nomad (F),15,4,5,6,3,0,5,7
Nomad Trooper (M),21,7,6,7,6,3,8,8
Nomad Trooper (F),21,6,6,7,5,4,6,8
Pegasus Knight,14,4,5,5,3,2,5,7
Falcon Knight,20,6,7,7,5,4,6,8
Wyvern Rider (M),20,7,3,5,8,0,10,7
Wyvern Rider (F),19,6,5,5,7,0,9,7
Wyvern Lord (M),25,9,5,7,10,1,11,8
Wyvern Lord (F),24,8,7,7,9,2,10,8
Mage (M),16,1,2,3,3,3,6,5
Mage (F),16,1,3,2,2,4,4,5
Sage (M),20,5,4,4,5,5,7,6
Sage (F),19,4,6,5,3,6,5,6
Shaman (M),16,2,1,2,2,4,5,5
Shaman (F),15,3,1,1,1,5,3,5
Druid (M),19,6,3,4,4,6,6,6
Druid (F),17,7,3,4,3,7,4,6
Priest (M),18,1,1,2,1,5,5,5
Priest (F),16,1,2,2,0,6,4,5
Bishop (M),21,4,4,4,3,8,6,6
Bishop (F),19,4,5,4,2,9,5,6
Troubadour,15,1,1,3,2,5,5,7
Valkyria,19,4,3,5,4,8,6,8
Mamkute (M),20,0,0,2,1,1,5,5
Mamkute (F),12,0,0,2,1,1,1,5
Fire Dragon,40,10,5,5,12,10,25,8
Divine Dragon,40,10,5,5,12,10,25,8
Demon Dragon,40,25,20,5,32,21,25,2
Child (M),10,0,0,0,0,0,1,5
Child (F),10,0,0,0,0,0,1,5
Civilian (M),10,0,0,0,0,0,4,5
Civilian (F),10,0,0,0,0,0,3,5
King,35,14,5,5,15,10,17,5
