Name,HP,S/M,Skl,Spd,Lck,Def,Res
Archer (F),70,35,40,32,35,15,20
Archer (M),70,35,40,32,35,15,15
Archsage,45,45,30,25,15,10,35
Assassin,50,5,45,40,40,5,20
Bard,45,45,30,60,70,0,13
Berserker,75,50,35,25,15,10,13
Bishop (F),45,35,25,22,40,8,50
Bishop (M),45,35,25,22,40,8,40
Blade Lord,90,45,40,45,40,15,12
Brigand,82,50,30,20,15,10,13
Cavalier (F),75,35,40,28,30,15,15
Cavalier (M),75,35,40,28,30,15,15
Civilian,10,0,0,0,0,0,10
Cleric,50,30,35,32,45,8,50
Corsair,75,50,35,25,15,10,13
Dancer,45,45,30,60,70,0,13
Dark Druid,45,55,30,25,20,10,35
Druid (F),45,55,30,25,20,10,35
Druid (M),45,55,30,25,20,10,35
Falcon Knight,60,30,30,30,30,12,30
Fighter,85,55,35,30,15,15,15
Fire Dragon,95,40,30,20,25,0,20
General (F),75,30,25,10,20,23,25
General (M),75,30,20,10,20,23,25
Great Lord,90,45,40,45,40,15,20
Hero (F),75,30,30,20,25,20,20
Hero (M),75,30,30,20,25,20,20
Knight (F),80,40,30,15,25,28,20
Knight (M),80,40,30,15,25,28,20
Knight Lord,90,45,40,45,40,15,15
Lord (Eliwood),90,45,40,45,40,15,15
Lord (Hector),90,45,40,45,40,15,12
Lord (Lyn),90,45,40,45,40,15,20
Mage (F),55,55,40,35,20,5,40
Mage (M),55,55,40,35,20,5,30
Magic Seal,45,45,30,25,15,10,35
Mercenary (F),80,40,40,32,30,18,30
Mercenary (M),80,40,40,32,30,18,20
Monk,50,30,35,32,45,8,40
Myrmidon (F),70,35,40,40,30,15,20
Myrmidon (M),70,35,40,40,30,15,20
Nomad Trooper (F),60,25,30,35,25,15,20
Nomad Trooper (M),60,25,30,35,25,15,15
Nomad (F),65,30,40,45,30,12,15
Nomad (M),65,30,40,45,30,12,15
Paladin (F),70,25,35,25,25,12,25
Paladin (M),70,25,30,18,25,12,20
Pegasus Knight,65,35,40,40,35,12,35
Pirate,75,50,35,25,15,10,13
Prince,10,0,0,0,0,0,10
Sage (Limstella),45,45,30,25,15,10,40
Sage (F),45,45,30,25,15,10,40
Sage (M),45,45,30,25,15,10,40
Shaman (F),50,45,32,30,20,10,40
Shaman (M),50,50,32,30,20,10,30
Sniper (F),65,30,30,20,30,15,25
Sniper (M),65,30,30,20,30,15,20
Soldier,80,50,30,20,25,12,15
Swordmaster (F),65,25,30,30,25,15,22
Swordmaster (M),65,25,30,30,25,15,22
Thief (F),45,5,45,40,40,5,25
Thief (M),50,5,45,40,40,5,20
Transporter (Wagon),10,0,0,0,0,0,10
Transporter (Tent),10,0,0,0,0,0,10
Troubadour,50,25,35,55,45,12,40
Valkyie,45,35,25,45,40,10,40
Warrior,80,45,25,20,15,16,17
Wyvern Lord (F),75,40,30,20,20,20,17
Wyvern Lord (M),75,40,30,20,20,20,17
Wyvern Rider (F),80,45,35,30,25,25,17
Wyvern Rider (M),80,45,35,30,25,25,15
