Class,HP,Str,Mag,Skl,Spd,Def,Res,Bld,Wt,Mov
Ranger,18,3,1,3,4,5,0,9,9,6
Lord,22,6,3,5,6,8,2,10,11,7
Hero,22,6,1,9,10,8,2,12,13,7
Myrmidon (M),17,4,0,5,5,3,0,10,10,6
Myrmidon (F),15,3,0,5,6,3,1,7,7,6
Swordmaster (M),21,5,2,7,7,5,2,11,11,7
Swordmaster (F),19,4,2,7,8,5,3,8,8,7
Soldier (M),20,4,0,4,4,4,0,10,13,6
Soldier (F),18,2,0,4,5,3,1,8,10,6
Halberdier (M),24,6,1,6,6,6,2,11,15,7
Halberdier (F),22,4,1,6,7,5,3,9,12,7
Fighter,24,5,0,3,3,3,0,12,12,6
Warrior,30,7,1,5,4,5,2,13,14,7
Archer,18,3,0,6,3,4,0,9,9,6
Sniper,21,6,2,8,5,6,2,10,11,7
Knight,20,5,0,2,0,9,0,12,16,5
General,23,8,2,4,2,10,3,13,18,6
General (Black Knight),24,7,1,4,1,11,2,13,18,6
Horse Knight (M),20,5,0,2,5,6,0,10,33,8
Horse Knight (F),18,5,0,2,6,5,1,7,29,8
Paladin (M),23,7,2,4,7,8,3,11,35,9
Paladin (F),23,7,2,4,7,8,3,8,31,9
Paladin (Titania),23,7,2,4,7,8,3,8,31,9
Pegasus Knight,14,4,0,4,8,3,2,7,23,8
Falcon Knight,18,6,2,6,9,5,5,8,25,9
Princess Crimea,20,6,1,7,7,5,5,6,23,9
Wyvern Rider (M),20,6,0,4,3,8,0,11,39,8
Wyvern Rider (F),19,6,0,4,3,7,1,7,35,8
Wyvern Lord (M),25,8,1,6,5,10,1,12,41,9
Wyvern Lord (F),24,8,1,6,5,9,2,8,37,9
King Daein,25,9,1,7,5,9,1,14,49,10
Mage (Specialist M) *,16,0,1,2,3,3,3,9,9,5
Mage (Specialist F) *,16,0,1,3,2,2,4,5,5,5
Mage (M),16,0,3,2,4,2,4,9,9,5
Mage (F),16,0,3,1,5,1,5,5,5,5
Sage (Specialist M) *,20,1,5,4,4,5,5,10,10,6
Sage (Specialist F) *,19,1,4,6,5,3,6,7,7,6
Sage (M),20,2,4,4,6,4,6,10,10,6
Sage (F),20,2,4,3,7,3,7,7,7,6
Priest,18,0,3,3,3,1,8,9,9,5
Bishop (M),21,1,6,5,5,3,11,10,10,6
Bishop (F) *,19,1,5,3,6,2,12,6,6,6
Cleric,16,2,1,2,2,0,6,5,5,5
Valkyrie,19,4,5,3,5,3,8,6,26,8
Thief,16,3,0,2,9,2,0,9,9,7
Assassin (M),18,5,1,5,11,4,2,10,10,7
Assassin (F) *,18,4,1,3,10,3,1,7,7,7
Bandit,25,5,0,2,4,2,0,13,14,6
Berserker,28,8,0,5,7,6,0,14,16,7
Beast tribe (Lion),30,10,2,7,8,10,2,17,37,7
Beast tribe (Tiger),28,8,2,6,7,7,2,12,27,7
Beast tribe (Cat M),27,6,4,6,8,4,2,9,24,7
Beast tribe (Cat F),26,6,4,6,8,3,3,6,21,7
Lion,30,18,2,11,11,15,5,32,52,9
Tiger,28,15,2,10,10,10,5,27,42,9
Cat (M),27,12,4,10,11,9,5,24,36,9
Cat (F),26,12,4,10,11,8,6,21,31,9
Dragon tribe (Black) *,34,15,5,5,5,20,10,13,18,5
Dragon tribe (White),30,10,5,7,5,10,20,12,17,5
Dragon tribe (Red M),35,15,5,6,7,14,13,13,18,5
Dragon tribe (Red F),30,13,6,5,5,14,16,6,11,5
Black Dragon *,34,25,5,9,8,25,15,39,90,6
White Dragon,30,20,5,12,8,15,25,36,80,6
Red Dragon (M),35,25,5,12,10,18,18,39,95,6
Red Dragon (F),30,18,6,9,9,18,21,12,44,6
Bird tribe (Hawk),26,6,2,6,8,5,3,10,10,6
Bird tribe (Tibarn),28,8,2,7,8,8,4,10,10,6
Bird tribe (Raven),24,4,3,6,8,5,3,10,9,6
Bird tribe (Naesala),26,5,3,7,10,7,4,10,9,6
Bird tribe (Heron) *,19,1,4,3,7,3,20,9,6,5
Bird tribe (Heron M),18,0,5,3,7,2,20,8,5,5
Bird tribe (Heron F),18,0,5,3,8,1,20,5,2,5
Hawk,26,12,2,11,11,9,5,20,18,8
Hawk (Tibarn),28,15,3,12,11,11,5,20,18,8
Raven,24,9,4,10,12,8,7,19,16,8
Raven (Naesala),26,11,5,11,13,10,7,19,16,8
Heron *,19,1,8,6,11,4,25,15,10,8
Heron (M),18,0,10,6,11,3,25,14,9,8
Heron (F),18,0,10,6,12,2,25,11,6,8
Civilian (M),10,0,0,0,0,0,0,9,9,5
Civilian (F),10,0,0,0,0,0,0,6,6,5
Child (M),10,0,0,0,0,0,0,2,2,5
Child (F),10,0,0,0,0,0,0,2,2,5
