Game,Old Name,New Name
4,Mana,Mana
4,Radney,Radney
4,Roddlevan,Rodolbahn
4,Oifey,Oifey
4,Tristan,Tristan
4,Dimna,Dimna
4,Yuria,Julia
4,Femina,Femina
4,Amid,Amid
4,Johan,Johan
4,Johalva,Johalvier
4,Shanan,Shanan
4,Daisy,Daisy
4,Janne,Jeanne
4,Aless,Ares
4,Laylea,Leylia
4,Linda,Linda
4,Asaello,Asaello
4,Hawk,Hawke
4,Hannibal,Hannibal
4,Sharlow,Sharlow
4,Celice,Seliph
4,Leaf,Leif
4,Altenna,Altena
4,Rana,Lana
4,Azel,Azel
4,Alec,Alec
4,Claude,Claude
4,Jamka,Jamke
4,Dew,Dew
4,Noish,Noish
4,Fin,Finn
4,Beowolf,Beowulf
4,Holyn,Holyn
4,Midayle,Midir
4,Levin,Lewyn
4,Lex,Lex
4,Lakche,Larcei
4,Skasaher,Ulster
4,Delmud,Dermott
4,Lester,Lester
4,Fee,Fee
4,Arthur,Arthur
4,Patty,Patty
4,Nanna,Nanna
4,Leen,Lene
4,Tinny,Tinni
4,Faval,Faval
4,Sety,Ced
4,Corpul,Cairpre
4,Sigurd,Sigurd
4,Arden,Arden
4,Cuan,Quan
4,Ethlin,Ethlyn
4,Adean,Aideen
4,Ira,Ayra
4,Diadora,Deirdre
4,Lachesis,Raquesis
4,Sylvia,Sylvia
4,Fury,Erin
4,Briggid,Bridget
4,Tiltyu,Taillte
5,Leaf,Leif
5,Fin,Finn
5,Evayle,Eyvel
5,Halvan,Halvan
5,Othin,Orsin
5,Dagda,Dagdar
5,Tania,Tanya
5,Marty,Marty
5,Ronan,Ronan
5,Rifis,Lifis
5,Safy,Safiya
5,Brighton,Brighton
5,Machua,Machua
5,Lara,Lara
5,Felgus,Fergus
5,Karin,Karin
5,Dalsin,Dalsin
5,Asvel,Asbel
5,Nanna,Nanna
5,Hicks,Hicks
5,Shiva,Shiva
5,Carrion,Carrion
5,Selphina,Selphina
5,Kein,Kane
5,Alva,Alva
5,Robert,Robert
5,Fred,Fred
5,Olwen,Olwen
5,Mareeta,Mareeta
5,Salem,Salem
5,Pahn,Pan
5,Tina,Tina
5,Trewd,Troude
5,Glade,Glade
5,Dean,Dean
5,Eda,Eda
5,Homeros,Homer
5,Linoan,Linoan
5,Ralph,Ralf
5,Eyrios,Ilios
5,Sleuf,Sleuf
5,Sara,Sara
5,Miranda,Miranda
5,Shanam,Shanam
5,Misha,Misha
5,Xavier,Xavier
5,Amalda,Amalda
5,Conomore,Conomor
5,Delmud,Dermott
5,Cyas,Saias
5,Sety,Ced
5,Galzus,Galzus
6,Roy,Roy
6,Marcus,Marcus
6,Allen,Allen
6,Lance,Lance
6,Wolt,Wolt
6,Bors,Bors
6,Merlinus,Merlinus
6,Ellen,Elen
6,Dieck,Deke
6,Wade,Wade
6,Lott,Lot
6,Thany,Shanna
6,Chad,Chad
6,Lugh,Lugh
6,Clarine,Clarine
6,Rutger,Rutger
6,Saul,Saul
6,Dorothy,Dorothy
6,Sue,Sue
6,Zealot,Jerrot
6,Treck,Treck
6,Noah,Noah
6,Astohl,Astore
6,Lilina,Lilina
6,Wendy,Wendy
6,Barth,Barth
6,Oujay,Ogier
6,Fir,Fir
6,Shin,Shin
6,Gonzales,Gonzales
6,Geese,Geese
6,Klein,Klain
6,Tate,Tate
6,Lalum,Lalum
6,Echidna,Echidna
6,Elphin,Elphin
6,Bartre,Bartre
6,Ray,Raigh
6,Cath,Cath
6,Miredy,Milady
6,Percival,Perceval
6,Cecilia,Cecilia
6,Sofiya,Sophia
6,Igrene,Igrene
6,Garret,Garret
6,Fa,Fae
6,Hugh,Hugh
6,Zeis,Zeiss
6,Douglas,Douglas
6,Niime,Niime
6,Dayan,Dayan
6,Juno,Juno
6,Yodel,Yoder
6,Karel,Karel
6,Narshen,Narcian
6,Gale,Gale
6,Hector,Hector
6,Brunya,Brunja
6,Eliwood,Eliwood
6,Murdoch,Murdock
