promo,maxes
Lord,Lord / Hero
Priest,Priest / Cleric
Cleric,Priest / Cleric
Bow Knight (F),Horse Knight (F)
Sage (M),Sage
Sage (F),Sage
Bishop (M),Bishop
Bishop (F),Bishop
Halberdier (F),Halberdier
Halberdier (M),Halberdier
Archer,Non-promoted physical
Ranger,Non-promoted physical
Soldier,Non-promoted physical
Mage (M),Mage
Mage (F),Mage
Thief,Non-promoted physical
Knight,Non-promoted physical
Lance Knight,Non-promoted physical
Fighter,Non-promoted physical
Priest,Non-promoted physical
Axe Knight,Non-promoted physical
Sword Knight,Non-promoted physical
Wyvern Rider,Non-promoted physical
Pegasus Knight,Non-promoted physical
Myrmidon,Non-promoted physical
,
bases,maxes
Archer,Non-promoted physical
Ranger,Non-promoted physical
Soldier (F),Non-promoted physical
Thief,Non-promoted physical
Axe Knight,Non-promoted physical
Thief (M),Non-promoted physical
Wyvern Rider,Non-promoted physical
Knight,Non-promoted physical
Lance Knight,Non-promoted physical
Fighter,Non-promoted physical
Lance Knight (M),Non-promoted physical
Ranger (M),Non-promoted physical
Priest,Priest / Cleric
Bow Knight,Horse Knight (F)
Dragon tribe (Red),Dragon tribe (Red F)
Dragon tribe (Red) (F),Dragon tribe (Red F)
Soldier,Non-promoted physical
Axe Knight (M),Non-promoted physical
Wyvern Rider (F),Non-promoted physical
Sword Knight (M),Non-promoted physical
Fighter (M),Non-promoted physical
Priest (M),Priest / Cleric
Pegasus Knight,Non-promoted physical
Myrmidon (M),Non-promoted physical
Beast tribe (Cat) (M),Beast tribe (Cat M)
Cleric (F),Priest / Cleric
Knight (M),Non-promoted physical
Myrmidon,Non-promoted physical
Archer (M),Non-promoted physical
Sword Knight,Non-promoted physical
Cleric,Priest / Cleric
Pegasus Knight (F),Non-promoted physical
Beast tribe (Cat) (F),Beast tribe (Cat F)
Myrmidon (F),Non-promoted physical
Bow Knight (F),Horse Knight (F)
