Class,HP,Str,Mag,Skl,Spd,Lck,Def,Mdf
Junior Lord,80,20,15,20,20,30,20,15
Lord Knight,80,25,15,22,22,30,22,18
Prince,80,23,18,22,21,30,22,18
Princess,80,20,22,20,23,30,20,22
Master Knight,80,27,22,27,27,30,27,22
Lance Knight,80,22,15,21,21,30,21,15
Duke Knight,80,27,15,22,22,30,23,18
Axe Knight,80,22,15,21,21,30,21,15
Great Knight,80,27,15,22,22,30,25,18
Arch Knight,80,22,15,21,21,30,21,15
Bow Knight,80,25,15,23,23,30,23,18
Social Knight,80,22,15,21,21,30,21,15
Troubadour,80,18,18,21,21,30,18,18
Paladin,80,24,20,24,24,30,24,20
Sword Armour,80,24,15,20,18,30,25,15
General,80,25,15,21,20,30,27,18
Pegasus Knight,80,22,15,22,27,30,20,22
Falcon Knight,80,22,22,25,30,30,21,27
Dragon Knight,80,25,15,22,21,30,26,15
Dragon Master,80,27,15,24,22,30,29,15
Sword Fighter,80,22,15,25,25,30,20,15
Sword Master,80,27,15,30,30,30,22,18
Forrest,80,27,18,27,27,30,22,18
Bow Fighter,80,22,15,25,25,30,20,15
Sniper,80,27,15,27,27,30,22,18
Axe Fighter,80,23,15,18,25,30,23,15
Warrior,80,26,15,22,27,30,25,18
Free Knight,80,22,15,21,21,30,21,15
Forrest Knight,80,23,15,30,27,30,23,18
Thief,80,18,15,18,22,30,16,15
Thief Fighter,80,22,18,22,27,30,20,18
Dancer,80,18,15,16,22,30,16,18
Bard,80,15,22,22,25,30,18,22
Shaman,80,15,23,22,22,30,18,25
Sage,80,15,30,27,30,30,18,27
Mage,80,15,22,21,21,30,16,20
Thunder Mage,80,15,22,24,21,30,16,20
Wind Mage,80,15,22,21,24,30,16,20
Mage Knight,80,20,25,22,22,30,20,22
Mage Fighter (F),80,18,27,24,27,30,20,25
Mage Fighter (M),80,20,27,25,25,30,22,22
Priest,80,15,22,21,21,30,16,22
High Priest,80,15,27,24,23,30,18,23
