Class,Promotion,Str,Mag,Skl,Spd,Def,Con,Mov,Weapon Ranks
Lord,Prince,+1,+1,+1,+1,+1,+0,+0,–
Social Knight,Paladin,+2,+1,+3,+2,+2,+1,+1,+1
Troubadour,Paladin,+1,+3,+1,+3,+1,+1,+1,+1
Free Knight,Forrest Knight,+2,+1,+3,+3,+2,+1,+1,+1
Lance Knight,Duke Knight,+2,+1,+3,+2,+2,+1,+1,+1
Axe Knight,Great Knight,+2,+1,+3,+2,+2,+1,+1,+1
Axe Armour,General,+3,+1,+5,+2,+4,+1,+1,"E,  E,  E"
Axe Fighter,Mercenary,+2,+1,+3,+3,+3,+0,+0,D
Swordfighter,Mercenary,+3,+1,+2,+2,+3,+2,+0,"+1,  E"
Swordfighter,Swordmaster,+2,+1,+3,+3,+2,+0,+1,+2
Bow Fighter,Sniper (M),+2,+1,+3,+3,+2,+1,+0,+1
Bow Fighter,Sniper (F),+2,+1,+3,+3,+2,+1,+1,+1
Arch Knight,Bow Knight,+2,+1,+3,+2,+2,+1,+1,+1
Mountain Thief,Warrior,+3,+1,+5,+6,+3,+1,+0,"+1,  E"
Pegasus Rider,Pegasus Knight,+2,+2,+2,+2,+1,+1,+1,+1
Dragon Rider,Dragon Knight,+2,+1,+3,+2,+2,+1,+1,+1
Priest,High Priest,+0,+3,+1,+1,+1,+0,+1,"+1,  E"
Sister,Sage,+0,+6,+5,+5,+3,+1,+2,"+1,  +1,  +1,  +1,  +1"
Bard,Sage,+0,+6,+6,+4,+4,+1,+1,"D,  +1,  +1,  +1,  +2"
Mage,Sage,+0,+5,+5,+6,+4,+1,+1,"D,  +1,  +1,  C"
Mage,Mage Knight,+3,+2,+3,+1,+3,+1,+2,"D,  +1,   +1"
Loputo Mage,Dark Mage,+0,+3,+2,+0,+4,+1,+0,+1
Thief,Thief Fighter,+3,+1,+2,+2,+2,+1,+0,+1
Thief,Dancer,+0,+0,-1,-5,+0,+0,-1,–
Thief Fighter,Dancer,-3,-1,-3,-7,-2,-1,-1,-1
Dancer,Thief Fighter,+3,+1,+2,+2,+2,+1,+1,+1
