Name,Class,Lv,HP,S/M,Skl,Spd,Lck,Def,Res,Con,Mov,Affin,Weapon ranks
Roy,Lord,1,18,5,5,7,7,5,0,6,5,,D
Marcus,Paladin,1,32,9,14,11,10,9,8,11,8,,"D,  A,  E"
Allen,Cavalier,1,21,7,4,6,3,6,0,9,7,,"E,  D"
Lance,Cavalier,1,20,5,6,8,2,6,0,9,7,,"E,  D"
Wolt,Archer,1,18,4,4,5,2,4,0,7,5,,D
Bors,Knight,1,20,7,4,3,4,11,0,14,4,,C
Merlinus,Transporter,1,15,0,3,3,10,3,0,25,5,,–
Ellen,Priest,2,16,1,6,8,8,0,6,4,5,,D
Dieck,Mercenary,5,26,9,12,10,5,6,1,13,5,,C
Wade,Fighter,2,28,8,3,5,4,3,0,13,5,,D
Lott,Fighter,3,29,7,6,7,2,4,1,12,5,,D
Thany,Pegasus Knight,1,17,4,6,12,5,6,5,4,7,,D
Chad,Thief,1,16,3,3,10,4,2,0,5,6,,E
Lugh,Mage,1,16,4,5,6,5,3,5,4,5,,D
Clarine,Troubadour,1,15,2,5,9,8,2,5,5,7,,D
Rutger,Myrmidon,4,22,7,12,13,2,5,0,7,5,,C
Rutger (HM),26,9,14,15,4,6,1,,,,,,
Saul,Priest,5,20,4,6,10,2,2,5,6,5,,C
Dorothy,Archer,3,19,5,6,6,3,4,2,7,5,,D
Sue,Nomad,1,18,5,7,8,4,5,0,5,7,,D
Zealot,Paladin,1,35,10,12,13,5,11,7,11,8,,"C,  A,  D"
Treck,Cavalier,4,25,8,6,7,5,8,0,9,7,,"E,  D"
Noah,Cavalier,7,27,8,7,9,6,7,1,10,7,,"C,  D"
Astohl,Thief,10,25,7,8,15,11,7,3,8,6,,C
Lilina,Mage,1,16,5,5,4,4,2,7,4,5,,C
Wendy,Knight,1,19,4,3,3,6,8,1,10,4,,D
Barth,Knight,9,25,10,6,5,2,14,1,16,4,,C
Oujay,Mercenary,3,24,7,10,9,6,4,0,8,5,,D
Fir,Myrmidon,1,19,6,9,10,3,3,1,5,5,,D
Fir (HM),25,9,12,13,5,4,2,,,,,,
Shin,Nomad,5,24,7,8,10,6,7,0,7,7,,D
Shin (HM),29,9,11,14,8,8,1,,,,,,
Gonzales,Bandit,5,36,12,5,9,5,6,0,15,5,,C
Gonzales (HM),43,16,7,11,6,7,1,,,,,,
Geese,Pirate,10,33,10,9,9,9,8,0,11,5,,B
Klein,Sniper,1,27,13,13,11,10,8,6,7,6,,A
Klein (HM),33,16,16,13,13,9,7,,,,,,
Tate,Pegasus Knight,8,22,6,8,11,3,7,6,5,7,,D
Tate (HM),28,9,12,15,6,8,8,,,,,,
Lalum,Dancer,1,14,1,2,11,9,2,4,4,5,,–
Echidna,Hero,1,35,13,19,18,6,8,7,9,6,,"C,  B"
Elphin,Bard,1,15,1,3,10,11,4,1,6,5,,–
Bartre,Warrior,1,48,22,11,10,14,10,3,14,6,,"A,  D"
Ray,Shaman,12,23,12,9,9,6,5,10,4,5,,C
Cath,Thief,5,16,3,7,11,8,2,1,5,6,,E
Cath (HM),20,3,11,15,12,2,3,,,,,,
Miredy,Wyvern Rider,10,30,12,11,10,5,13,3,9,7,,C
Miredy (HM),38,17,15,13,8,16,4,,,,,,
Percival,Paladin,5,43,17,13,18,12,14,11,12,8,,"A,  A,  C"
Percival (HM),51,20,16,20,15,15,13,,,,,,
Cecilia,Valkyria,1,30,11,7,10,10,7,13,6,8,,"C,  A"
Sofiya,Shaman,1,15,6,2,4,3,1,8,3,5,,C
Igrene,Sniper,1,32,16,18,15,9,11,10,7,6,,B
Garret,Berserker,1,49,17,13,10,12,9,4,13,6,,C
Garret (HM),55,21,16,11,14,10,5,,,,,,
Fa,Mamkute,1,16,2,2,3,7,2,6,1,5,,–
Hugh,Mage,15,26,13,11,12,10,9,9,7,5,,C
Zeis,Wyvern Rider,7,28,14,9,8,6,12,2,10,7,,D
Zeis (HM),37,19,13,11,9,15,3,,,,,,
Douglas,General,8,46,19,13,8,11,20,5,17,5,,"A,  A"
Niime,Druid,18,25,21,20,16,15,5,18,4,6,,"A,  A"
Dayan,Nomadic Trooper,12,43,14,16,20,12,10,12,9,8,,"C,  A"
Juno,Falcon Knight,9,33,11,14,16,14,8,12,7,8,,"E,  A"
Yodel,Bishop,20,35,19,18,14,11,5,30,6,6,,"S,  A"
Karel,Swordmaster,19,44,20,28,23,18,15,13,9,6,,S
Narshen,Wyvern Lord,10,46,16,13,16,13,20,12,11,8,–,"A,  A"
Gale,Wyvern Lord,18,49,22,15,13,11,22,14,12,8,,"A,  A"
Hector,General,20,43,18,20,10,15,30,15,20,5,,"A,  A"
Brunya,Sage,20,38,23,18,18,17,18,25,6,6,–,"A,  A"
Eliwood,Paladin,20,48,25,20,22,14,24,15,11,8,,"A,  S,  C"
Murdoch,General,20,60,27,19,12,12,25,17,20,5,–,"A,  A"
Zephiel,King,20,60,24,20,14,15,22,24,17,5,–,S
Guinevere,Sage,20,29,24,24,23,24,13,25,5,6,,"A,  B,  S"
