Class,HP,S/M,Skl,Spd,Def,Res,Mov,Con,Weapon EXP 
Blade Lord,+3,+2,+2,+0,+3,+5,+1,+1,(+31)
Knight Lord,+4,+2,+0,+1,+1,+3,+2,+2,(+31)
Great Lord,+3,+0,+2,+3,+1,+5,+0,+2,(+31)
Paladin (M),+2,+1,+1,+1,+2,+1,+1,+2,"+30,  +30,  (+1)"
General (M),+4,+2,+2,+3,+2,+3,+1,+2,"+30,  (+1)"
Hero (M),+4,+0,+2,+2,+2,+2,+1,+1,"+40,  (+1)"
Swordmaster (M),+5,+2,+0,+0,+2,+1,+1,+1,+40
Assassin,+3,+1,+0,+0,+2,+2,+0,+0,–
Sniper (M),+3,+1,+2,+2,+2,+3,+1,+1,+40
Sniper (F),+4,+3,+1,+1,+2,+2,+1,+1,+40
Nmd Trooper (M),+3,+2,+1,+1,+3,+3,+1,+1,"(+1),  +40"
Wyvern Lord (M),+4,+0,+2,+2,+0,+2,+1,+1,"(+1),  +40"
Sage (M),+4,+1,+0,+0,+3,+3,+1,+1,"(+1),  +40"
Sage (F),+3,+1,+1,+0,+3,+3,+1,+1,"(+1),  +40"
Bishop (M),+3,+2,+1,+0,+3,+2,+1,+1,"(+71),  +30"
Bishop (F),+3,+1,+2,+1,+2,+2,+1,+1,"+40,  (+31)"
Druid (M),+4,+0,+0,+3,+2,+2,+1,+1,"(+1),  +40"
Warrior,+3,+1,+2,+0,+3,+3,+1,+2,"+40,  (+1)"
Berserker,+4,+1,+1,+1,+2,+2,+1,+3,+40
Falcoknight,+5,+2,+0,+0,+2,+2,+1,+1,"(+1),  +40"
Valkyrie,+3,+2,+1,+0,+2,+3,+1,+1,"+40,  (+1)"
