Class,HP,S/M,Skl,Spd,Lck,Def,Res
Lord (M),90,45,40,45,40,15,15
Lord (F),90,45,40,45,40,15,20
Great Lord (M),90,45,40,45,40,15,15
Great Lord (F),90,45,40,45,40,15,20
Dancer,45,45,30,60,70,0,13
Soldier,80,50,30,20,25,12,15
Cavalier (M),75,35,40,28,30,15,15
Cavalier (F),75,35,40,28,30,15,15
Paladin (M),70,25,30,18,25,12,20
Paladin (F),70,25,35,25,25,12,25
Great Knight (M),70,30,20,15,20,21,20
Great Knight (F),70,30,25,20,20,21,22
Knight (M),80,40,30,15,25,28,20
Knight (F),80,40,30,15,25,28,20
General (M),75,30,20,10,20,23,25
General (F),75,30,25,10,20,23,25
Mercenary (M),80,40,40,32,30,18,20
Mercenary (F),80,40,40,32,30,18,30
Hero (M),75,30,30,20,25,20,20
Hero (F),75,30,30,20,25,20,20
Myrmidon (M),70,35,40,40,30,15,20
Myrmidon (F),70,35,40,40,30,15,20
Swordmaster (M),65,25,30,30,25,15,22
Swordmaster (F),65,25,30,30,25,15,22
Assassin (M),50,5,45,40,40,5,20
Assassin (F),50,5,45,40,40,5,20
Thief,50,5,45,40,40,5,20
Rogue,50,10,45,35,40,5,20
Archer (M),70,35,40,32,35,15,15
Archer (F),70,35,40,32,35,15,20
Sniper (M),65,30,30,20,30,15,20
Sniper (F),65,30,30,20,30,15,25
Ranger (M),60,25,30,35,25,15,15
Ranger (F),60,25,30,35,25,15,20
Wyvern Rider (M),80,45,35,30,25,25,15
Wyvern Rider (F),80,45,35,30,25,25,17
Wyvern Lord (M),75,40,30,20,20,20,17
Wyvern Lord (F),75,40,30,20,20,20,17
Wyvern Knight (M),65,35,30,30,25,15,17
Wyvern Knight (F),65,35,30,30,25,15,20
Mage (M),55,55,40,35,20,5,30
Mage (F),55,55,40,35,20,5,40
Sage (M),45,45,30,25,15,10,40
Sage (F),45,45,30,25,15,10,40
Mage Knight (M),45,40,30,40,30,10,40
Mage Knight (F),45,40,30,40,40,10,40
Monk,50,30,35,32,45,8,40
Priest,50,30,35,32,45,8,50
Cleric,50,30,35,32,45,8,50
Bishop (M),45,35,25,22,40,8,40
Bishop (F),45,35,25,22,40,8,50
Shaman (M),50,50,32,30,20,10,30
Shaman (F),50,45,32,30,20,10,40
Druid (M),45,55,30,25,20,10,35
Druid (F),45,55,30,25,20,10,35
Summoner (M),45,50,30,25,20,8,35
Summoner (F),45,50,30,25,20,8,35
Journeyman (all),85,55,40,32,40,18,20
Recruit (all),75,45,40,40,40,25,35
Pupil (all),55,55,40,35,40,10,30
Manakete (M),95,40,30,20,25,0,10
Manakete (F),95,40,30,20,25,0,10
Fighter,85,55,35,30,15,15,15
Warrior,80,45,25,20,15,16,17
Brigand,82,50,30,20,15,10,13
Pirate,75,50,35,25,15,10,13
Berserker,75,50,35,25,15,10,13
Pegasus Knight,65,35,40,40,35,12,35
Falcon Knight,60,30,30,30,30,12,30
Troubadour,50,25,35,55,45,12,40
Valkyrie,45,35,25,45,40,10,40
Necromancer,45,55,30,25,20,10,35
Fleet,75,35,40,32,15,15,15
Phantom,0,55,35,45,50,15,15
Revenant,95,50,30,20,10,10,13
Entombed,85,40,25,17,50,10,13
Bonewalker (melee),80,50,30,20,10,12,15
Bonewalker (bow),70,35,40,32,10,15,15
Wight (melee),65,25,25,20,10,15,22
Weight (bow),65,30,30,20,10,15,20
Bael,82,50,30,20,15,18,13
Elder Bael,85,45,25,20,10,21,17
Cyclops,95,30,35,25,10,24,25
Mauthedoog,70,35,45,45,30,15,20
Gwyllgi,65,28,35,35,25,16,22
Tarvos,80,35,40,28,10,15,15
Maelduin,75,30,30,18,10,13,20
Mogall,50,45,32,30,30,10,28
Arch Mogall,45,55,30,25,20,10,28
Gorgon Egg,100,0,0,0,0,0,0
Gorgon,45,60,30,25,30,10,40
Gargoyle,80,45,35,35,10,25,15
Deathgoyle,75,40,30,25,10,20,17
Dracozombie,85,35,20,20,25,30,10
Demon King,95,40,30,20,25,20,20
Civilian,10,0,0,0,0,0,10
Pontifex,10,0,0,0,0,0,10
