Class,Promotion,HP,Str,Mag,Skl,Spd,Def,Res,Con,Mov,Cap
Ranger,Lord,+4,+3,+2,+2,+2,+3,+2,+1,+1,+5
Myrmidon (M),Swordmaster (M),+4,+1,+2,+2,+2,+2,+2,+1,+1,+5
Myrmidon (F),Swordmaster (F),+4,+1,+2,+2,+2,+2,+2,+1,+1,+5
Soldier (F),Halberdier (F),+4,+2,+1,+2,+2,+2,+2,+1,+1,+5
Fighter,Warrior,+6,+2,+1,+2,+1,+2,+2,+1,+1,+5
Archer,Sniper,+3,+3,+2,+2,+2,+2,+2,+1,+1,+5
Knight,General,+3,+3,+2,+2,+2,+1,+3,+1,+1,+5
Sword Knight (M),Paladin (M),+3,+2,+2,+2,+2,+2,+3,+1,+1,+5
Lance Knight (M),Paladin (M),+3,+2,+2,+2,+2,+2,+3,+1,+1,+5
Axe Knight (M),Paladin (M),+3,+2,+2,+2,+2,+2,+3,+1,+1,+5
Bow Knight (F),Paladin (F),+5,+2,+2,+2,+1,+3,+2,+1,+1,+5
Pegasus Knight,Falcon Knight,+4,+2,+2,+2,+1,+2,+3,+1,+1,+5
Wyvern Rider (F),Wyvern Lord (F),+5,+2,+1,+2,+2,+2,+1,+1,+1,+5
Mage (M),Sage (M),+4,+2,+1,+2,+2,+2,+2,+1,+1,+5
Mage (F),Sage (F),+4,+2,+1,+2,+2,+2,+2,+2,+1,+5
Priest,Bishop (M),+3,+1,+3,+2,+2,+2,+3,+1,+1,+5
Cleric,Valkyrie,+3,+2,+4,+1,+3,+3,+2,+1,+3,+5
Thief,Assassin (M),+2,+2,+1,+3,+2,+2,+2,+1,+0,+5
