Name,Class,Lv,HP,Str,Mag,Skl,Spd,Lck,Def,Mdf,Gold,Skill(s)
Mana,Priest,1,24,0,10,7,10,5,1,10,2000,–
Radney,Swordfighter,1,28,9,0,13,15,3,7,1,2000,Pursuit
Roddlevan,Swordfighter,1,30,10,0,13,13,4,8,0,2000,"Pursuit, Ambush"
Oifey,Paladin,15,40,16,9,17,16,8,17,8,5000,"Pursuit, Critical"
Tristan,Free Knight,3,30,11,0,10,10,5,10,0,5000,Critical
Dimna,Arch Knight,1,30,9,0,7,9,3,8,0,2000,Pursuit
Yuria,Shaman,1,24,0,11,8,11,5,3,14,2000,"Pursuit, Continue, Awareness"
Femina,Pegasus Knight,2,28,10,1,9,16,3,7,9,3000,Continue
Amid,Wind Mage,2,29,1,11,10,14,6,4,9,3000,Continue
Johan,Axe Knight,12,40,15,0,10,12,5,12,1,5000,Ambush
Johalva,Axe Fighter,12,42,16,0,7,16,5,14,1,5000,Charge
Shanan,Swordmaster,12,38,18,0,22,23,10,13,4,5000,"Pursuit, Continue, Shooting Star Sword"
Daisy,Thief,1,24,3,1,4,13,6,2,3,5000,"Steal, Prayer"
Janne,Troubadour,3,30,6,7,9,11,4,5,6,2000,–
Aless,Social Knight,7,40,13,4,12,13,6,12,4,3000,"Pursuit, Continue, Ambush"
Laylea,Dancer,3,24,4,0,1,13,4,1,4,3000,"Dance, Charisma"
Linda,Thunder Mage,3,26,0,11,12,9,2,2,7,5000,"Wrath, Elite"
Asaello,Bow Fighter,9,36,12,1,15,15,3,10,1,2000,"Pursuit, Charge"
Hawk,Sage,14,38,3,22,18,23,4,9,17,5000,"Pursuit, Continue"
Hannibal,General,20,60,20,0,16,11,7,22,6,5000,"Big Shield, Continue, Ambush"
Sharlow,Priest,1,24,0,11,8,9,3,3,9,5000,Elite
