Character,Class,Level,Father,HP,Str,Mag,Skl,Spd,Lck,Def,Mdf
Celice,Junior Lord,1,Sigurd,31,8,1,8,8,10,7,1
Leaf,Prince,1,Cuan,32,12,3,10,10,8,10,3
Altenna,Dragon Knight,17,Cuan,51,23,2,17,19,13,21,2
Rana,Priest,1,Arden,30,2,9,7,8,12,3,8
Azel,29,1,11,8,9,12,2,8,,,
Alec,29,2,9,8,9,12,3,8,,,
Claude,28,1,11,8,9,12,2,9,,,
Jamka,30,2,9,8,9,12,3,7,,,
Dew,27,2,10,8,9,13,3,8,,,
Noish,29,2,9,8,8,12,3,8,,,
Fin,29,2,9,8,9,13,3,8,,,
Beowolf,29,2,9,8,9,12,2,7,,,
Holyn,30,2,9,8,9,11,3,8,,,
Midayle,29,2,9,8,9,12,3,8,,,
Levin,29,1,11,8,9,12,2,8,,,
Lex,30,2,9,8,9,12,3,8,,,
Lakche,Swordfighter,1,Arden,31,10,0,13,13,8,7,0
Azel,30,9,1,13,14,8,7,0,,,
Alec,30,10,0,14,14,8,7,0,,,
Claude,29,9,1,13,13,9,6,1,,,
Jamka,30,10,0,13,14,9,7,0,,,
Dew,28,10,0,14,14,10,7,0,,,
Noish,30,10,0,13,13,8,7,0,,,
Fin,30,10,0,14,14,9,7,0,,,
Beowolf,30,10,0,14,14,8,7,0,,,
Holyn,31,10,0,14,14,8,7,0,,,
Midayle,29,10,0,13,14,8,7,0,,,
Levin,30,9,1,14,14,8,7,0,,,
Lex,30,10,0,13,13,8,7,0,,,
Skasaher,Swordfighter,1,Arden,32,11,0,12,12,7,8,0
Azel,30,8,3,12,14,8,7,1,,,
Alec,30,10,0,14,13,9,7,0,,,
Claude,28,8,2,12,13,9,6,3,,,
Jamka,31,11,0,12,13,9,7,0,,,
Dew,27,10,0,14,14,11,8,0,,,
Noish,30,11,0,13,12,8,8,0,,,
Fin,30,10,0,14,14,11,7,0,,,
Beowolf,30,11,0,14,13,8,7,0,,,
Holyn,31,10,0,14,13,7,8,0,,,
Midayle,29,10,0,13,14,7,7,0,,,
Levin,31,8,2,14,14,9,7,1,,,
Lex,31,10,0,13,13,9,8,0,,,
Delmud,Free Knight,3,Arden,33,12,0,7,8,8,10,0
Azel,31,10,3,8,11,9,8,1,,,
Alec,31,11,0,9,9,11,8,0,,,
Claude,29,9,2,8,9,11,7,4,,,
Jamka,32,12,0,7,9,11,9,0,,,
Dew,28,11,0,9,11,13,10,1,,,
Noish,32,12,0,8,8,9,10,0,,,
Fin,31,11,0,9,9,13,8,0,,,
Beowolf,32,12,0,9,9,9,8,0,,,
Holyn,34,11,0,10,9,8,9,0,,,
Midayle,31,11,0,8,10,8,8,0,,,
Levin,32,10,2,9,12,9,8,1,,,
Lex,32,12,0,8,9,10,10,0,,,
Lester,Arch Knight,1,Arden,31,10,1,7,8,9,9,0
Azel,29,8,4,8,10,10,7,1,,,
Alec,30,9,1,9,9,11,8,0,,,
Claude,27,7,4,8,9,11,7,3,,,
Jamka,31,10,1,8,9,11,8,0,,,
Dew,27,9,1,9,10,13,8,1,,,
Noish,30,10,1,8,8,10,9,0,,,
Fin,30,9,1,9,9,13,8,0,,,
Beowolf,30,10,1,9,9,10,8,0,,,
Holyn,31,10,1,9,9,9,8,0,,,
Midayle,29,9,1,8,9,9,8,0,,,
Levin,30,8,3,9,10,11,7,1,,,
Lex,30,10,1,8,9,11,9,0,,,
Fee,Pegasus Knight,2,Arden,29,10,0,9,15,8,8,8
Azel,28,9,2,9,16,9,7,8,,,
Alec,28,9,0,10,15,9,8,8,,,
Claude,27,8,1,9,15,9,7,9,,,
Jamka,29,10,0,9,15,9,8,8,,,
Dew,28,9,0,10,16,10,8,8,,,
Noish,29,10,0,9,15,9,8,8,,,
Fin,29,9,0,10,15,10,8,8,,,
Beowolf,29,10,0,10,15,9,8,7,,,
Holyn,30,10,0,10,15,8,8,8,,,
Midayle,28,9,0,9,16,8,8,8,,,
Levin,29,9,1,10,16,9,7,8,,,
Lex,30,10,0,9,15,9,8,8,,,
Arthur,Mage,2,Arden,32,3,8,8,8,9,4,5
Azel,30,0,10,8,10,9,2,6,,,
Alec,30,2,8,10,9,10,3,5,,,
Claude,28,0,10,8,9,11,2,8,,,
Jamka,31,3,7,8,9,10,3,5,,,
Dew,27,2,8,10,10,12,3,6,,,
Noish,31,3,8,9,8,10,3,5,,,
Fin,30,2,8,10,10,12,3,5,,,
Beowolf,31,3,7,10,9,9,2,5,,,
Holyn,33,2,8,11,9,9,3,6,,,
Midayle,30,2,8,9,10,9,3,5,,,
Levin,31,0,10,10,11,10,2,6,,,
Lex,31,2,8,9,9,10,4,5,,,
Patty,Thief,1,Arden,32,7,0,6,10,10,4,1
Azel,31,5,2,6,11,10,3,1,,,
Alec,31,6,0,7,10,11,4,1,,,
Claude,30,5,2,6,10,11,3,2,,,
Jamka,32,7,0,6,10,11,4,1,,,
Dew,29,6,1,7,11,12,4,1,,,
Noish,31,7,0,6,10,10,4,1,,,
Fin,31,6,0,7,10,12,4,1,,,
Beowolf,31,7,0,7,10,10,3,1,,,
Holyn,32,6,0,7,10,10,4,1,,,
Midayle,31,6,0,6,10,10,4,1,,,
Levin,31,6,1,7,11,11,3,1,,,
Lex,31,7,0,6,10,11,4,1,,,
Nanna,Troubadour,3,Arden,31,8,3,7,8,9,5,4
Azel,30,7,4,8,9,11,5,4,,,
Alec,29,8,3,8,9,11,5,4,,,
Claude,28,7,4,8,9,11,4,5,,,
Jamka,31,8,3,8,9,11,5,4,,,
Dew,28,8,3,8,9,12,5,4,,,
Noish,31,8,3,8,8,11,5,4,,,
Fin,29,8,3,8,9,12,5,4,,,
Beowolf,31,8,3,8,9,10,5,4,,,
Holyn,31,8,3,9,9,10,5,4,,,
Midayle,29,8,3,8,9,9,5,4,,,
Levin,31,7,4,8,10,11,5,4,,,
Lex,31,8,3,8,9,11,7,4,,,
Leen,Dancer,3,Arden,30,5,1,2,9,9,2,5
Azel,29,3,4,2,10,9,2,6,,,
Alec,29,4,1,3,9,10,2,5,,,
Claude,28,3,4,2,9,11,1,8,,,
Jamka,30,5,1,2,9,11,2,5,,,
Dew,28,4,2,3,10,12,2,6,,,
Noish,29,5,1,3,9,9,2,5,,,
Fin,29,4,1,3,9,12,2,5,,,
Beowolf,29,5,1,3,9,9,2,5,,,
Holyn,31,4,1,4,9,9,2,5,,,
Midayle,29,4,1,3,10,9,2,5,,,
Levin,30,3,2,3,11,10,2,6,,,
Lex,31,4,1,3,9,10,4,5,,,
Tinny,Mage,3,Arden,31,2,8,10,10,12,2,6
Azel,30,0,11,10,11,12,2,6,,,
Alec,30,1,8,11,11,12,2,6,,,
Claude,28,0,9,10,10,12,1,7,,,
Jamka,31,2,8,10,11,12,2,6,,,
Dew,29,1,8,11,11,13,2,6,,,
Noish,31,2,8,10,10,12,2,6,,,
Fin,30,1,8,11,11,13,2,6,,,
Beowolf,31,2,8,11,11,12,2,6,,,
Holyn,31,1,8,12,11,11,2,6,,,
Midayle,29,1,8,10,11,12,2,6,,,
Levin,31,0,9,11,11,12,2,6,,,
Lex,31,1,8,10,10,12,4,6,,,
Faval,Bow Fighter,9,Arden,44,16,1,14,14,15,12,0
Azel,41,10,7,14,18,15,9,1,,,
Alec,41,13,1,18,16,17,10,0,,,
Claude,38,10,5,14,16,18,8,5,,,
Jamka,44,16,0,14,16,18,11,0,,,
Dew,38,14,1,18,18,20,12,1,,,
Noish,43,15,1,16,14,15,12,0,,,
Fin,42,13,1,18,16,21,11,0,,,
Beowolf,43,15,0,18,16,15,10,0,,,
Holyn,46,13,1,21,16,14,11,1,,,
Midayle,40,13,1,16,18,15,10,0,,,
Levin,42,11,5,18,19,16,9,1,,,
Lex,43,15,1,15,15,16,13,0,,,
Sety,Sage,14,Arden,46,10,16,15,21,10,13,13
Azel,41,3,23,17,27,11,9,14,,,
Alec,41,7,16,21,23,14,11,13,,,
Claude,39,3,22,17,23,16,8,22,,,
Jamka,45,10,15,16,23,15,11,13,,,
Dew,36,9,16,21,26,17,13,14,,,
Noish,43,9,16,19,21,12,13,13,,,
Fin,41,8,16,21,23,18,11,13,,,
Beowolf,43,9,15,21,23,11,10,13,,,
Holyn,48,8,16,26,23,11,11,13,,,
Midayle,39,7,16,19,26,10,11,13,,,
Levin,45,3,21,21,17,12,9,14,,,
Lex,45,9,16,17,22,12,15,13,,,
Corpul,Priest,1,Arden,31,3,8,7,8,8,4,8
Azel,29,0,10,7,9,9,2,9,,,
Alec,29,2,8,9,9,9,3,8,,,
Claude,26,0,10,7,8,10,2,11,,,
Jamka,30,3,7,7,9,10,3,8,,,
Dew,26,2,8,9,9,12,3,8,,,
Noish,30,3,8,8,8,9,3,8,,,
Fin,29,2,8,9,9,11,3,8,,,
Beowolf,30,3,7,9,9,8,2,8,,,
Holyn,31,2,8,9,9,8,3,8,,,
Midayle,28,2,8,8,9,8,3,8,,,
Levin,30,0,10,9,9,9,2,9,,,
Lex,30,2,8,8,8,10,4,8,,,
