Character,HP,Str,Mag,Skl,Spd,Lck,Def,Mdf,Holy Blood
Sigurd,110,50,5,50,30,40,40,5,Baldo
Noish,80,40,5,30,20,20,40,5,–
Alec,70,30,5,40,30,30,30,5,–
Arden,90,50,5,10,20,10,40,5,–
Cuan,110,50,5,30,40,10,50,5,Noba
Ethlin,60,30,5,30,30,20,20,10,Baldo
Fin,70,30,5,40,30,50,30,5,–
Lex,90,40,5,20,20,20,50,5,Neir
Azel,70,10,40,20,50,20,20,10,Fala
Midayle,60,30,5,30,40,10,30,5,–
Adean,70,20,30,20,30,60,20,5,Ulir
Dew,50,40,10,40,40,40,40,10,–
Ira,70,30,5,60,30,20,20,5,Odo
Diadora,70,10,70,20,10,10,10,70,"Narga, Loputousu"
Jamka,90,50,0,10,30,40,30,5,–
Holyn,110,30,5,80,30,20,30,5,Odo
Lachesis,60,50,5,10,20,40,20,10,Hezul
Levin,90,10,30,40,90,20,20,10,Holsety
Sylvia,50,10,30,10,10,30,10,40,Blaggi
Fury,50,20,10,20,30,20,30,10,–
Beowolf,80,40,0,40,30,20,30,5,–
Briggid,90,30,20,30,20,70,20,5,Ulir
Claude,70,10,40,20,30,50,20,50,Blaggi
Tiltyu,60,10,20,60,40,50,10,10,Tordo
