Character,HP,Str,Mag,Skl,Spd,Lck,Def,Bld,Mov
Leaf,70,35,10,35,40,40,25,15,3
Fin,60,35,5,30,35,45,30,10,1
Othin,85,30,5,25,35,55,25,25,2
Halvan,80,40,5,20,30,30,30,30,2
Evayle,30,15,10,15,10,25,5,5,1
Dagda,15,10,5,10,10,30,10,5,1
Ralph,60,35,5,30,20,15,35,35,1
Marty,90,15,5,10,15,50,40,75,2
Ronan,40,15,55,45,55,20,5,2,3
Miranda,60,5,70,55,70,35,15,5,2
Saphy,35,30,60,45,40,5,3,2,0
Lara,45,10,10,50,70,60,20,5,3
Brighton,70,30,5,25,30,15,35,20,1
Felgus,65,35,10,45,35,40,25,20,1
Eda,60,40,20,35,60,30,20,5,1
Asvel,55,10,35,55,75,35,10,10,2
Machua,60,30,10,55,60,35,25,10,2
Hicks,80,35,5,40,30,55,30,30,1
Nanna,50,25,10,40,35,55,15,10,1
Selphina,50,25,10,40,35,55,15,10,1
Dalsin,60,50,5,40,25,25,20,25,2
Carrion,75,40,10,65,45,55,25,25,1
Shiva,70,45,5,50,35,60,30,20,2
Pahn,65,40,10,45,65,70,25,10,2
Glade,60,45,5,35,35,35,30,15,1
Kein,75,55,5,40,35,50,35,30,1
Alva,70,40,10,45,50,65,30,25,1
Robert,65,45,10,50,60,70,25,20,1
Fred,75,60,15,40,35,25,35,25,1
Olwen,50,40,45,55,50,70,15,10,1
Sety,75,10,75,75,80,65,20,15,1
Lifis,65,35,10,25,45,5,15,10,2
Karin,55,30,15,35,70,70,15,5,2
Dean,75,55,5,50,30,40,30,30,1
Shanam,50,50,5,5,50,50,5,5,2
Trewd,90,35,5,45,35,60,30,20,2
Tania,60,35,15,55,70,60,15,5,2
Linoan,50,3,45,60,55,55,10,5,2
Misha,65,55,15,65,80,40,20,5,1
Salem,60,5,30,45,40,10,15,15,2
Sleuf,35,3,40,75,45,25,10,10,2
Mareeta,65,60,15,75,80,60,20,10,3
Tina,40,3,50,25,65,90,5,5,5
Amalda,70,55,15,50,45,60,25,15,1
Conomore,70,60,5,35,50,20,20,20,1
Homeros,65,0,40,70,70,55,15,10,3
Delmud,70,40,15,65,45,65,30,15,2
Sara,40,0,80,80,80,40,10,5,3
Cyas,50,0,35,40,40,55,15,10,2
Galzus,50,40,45,55,50,70,15,10,1
Eyrios,50,40,45,55,50,70,15,10,1
Xavier,50,40,45,55,50,70,15,10,1
