Name,HP,S/M,Skl,Spd,Lck,Def,Res
Roy,80,40,50,40,60,25,30
Marcus,60,25,20,25,20,15,20
Allen,85,45,40,45,40,25,10
Lance,80,40,45,50,35,20,15
Wolt,80,40,50,40,40,20,10
Bors,90,30,30,40,50,35,10
Merlinus,100,0,50,50,100,20,5
Ellen,45,50,30,20,70,5,60
Dieck,90,40,40,30,35,20,15
Wade,75,50,45,20,45,30,5
Lott,80,30,30,35,30,40,15
Thany,45,30,55,60,60,10,25
Chad,85,50,50,80,60,25,15
Lugh,50,40,50,50,35,15,30
Clarine,40,30,40,50,65,10,40
Rutger,80,30,60,50,30,20,20
Saul,60,40,45,45,15,15,50
Dorothy,85,50,45,45,35,15,15
Sue,55,30,55,65,50,10,15
Zealot,75,25,20,20,15,30,15
Treck,85,40,30,35,50,30,5
Noah,75,30,45,30,40,30,10
Astohl,90,35,40,50,15,20,20
Lilina,45,75,20,35,50,10,35
Wendy,85,40,40,40,45,30,10
Barth,100,60,25,20,20,40,2
Oujay,85,40,30,45,55,20,15
Fir,75,25,50,55,50,15,20
Shin,75,45,50,50,25,10,15
Gonzales,90,60,15,50,35,25,5
Geese,85,50,30,40,40,20,10
Klein,60,35,40,45,50,15,25
Tate,60,40,45,55,40,15,20
Lalum,70,10,5,70,80,20,30
Echidna,75,30,25,30,20,15,15
Elphin,80,5,5,65,65,25,55
Bartre,70,40,20,30,20,20,5
Ray,55,45,55,40,15,15,35
Cath,80,40,45,85,50,15,20
Miredy,75,50,50,45,25,20,5
Percival,75,30,25,35,20,20,10
Cecilia,60,35,45,25,25,20,25
Sofiya,60,55,40,30,20,20,55
Igrene,70,35,25,35,20,10,5
Garret,70,45,25,25,15,15,5
Fa,130,90,85,65,150,30,50
Hugh,75,30,30,45,25,20,15
Zeis,80,60,50,35,20,25,5
Douglas,60,30,30,30,20,30,5
Niime,25,15,15,15,5,15,20
Dayan,55,20,20,15,20,10,10
Juno,50,20,35,30,45,10,10
Yodel,20,30,15,10,20,10,20
Karel,210,130,140,140,120,110,100
