Class,HP,S/M,Skl,Spd,Lck,Def,Res,Con,Mov
Non-promoted,60,20,20,20,30,20,20,20,15
Blade Lord,60,24,29,30,30,22,22,25,15
Knight Lord,60,27,26,24,30,23,25,25,15
Great Lord,60,30,24,24,30,29,20,25,15
Dancer,60,10,10,30,30,24,26,20,15
Bard,60,10,10,30,30,24,26,20,15
Transporter,60,20,20,20,30,20,20,25,15
Paladin (M),60,25,26,24,30,25,25,25,15
Paladin (F),60,23,27,25,30,24,26,25,15
General (M),60,29,27,24,30,30,25,20,15
General (F),60,25,25,22,30,30,26,20,15
Hero (M),60,25,30,26,30,25,22,20,15
Hero (F),60,24,30,26,30,24,24,25,15
Swordmaster (M),60,24,29,30,30,22,23,25,15
Swordmaster (F),60,22,29,30,30,22,25,25,15
Assassin,60,20,30,30,30,20,20,20,15
Sniper (M),60,25,30,28,30,25,23,20,15
Sniper (F),60,24,30,29,30,24,24,20,15
Nmd Trooper (M),60,25,28,30,30,24,23,20,15
Nmd Trooper (F),60,23,28,30,30,22,25,20,15
Wyvern Lord (M),60,27,25,23,30,28,22,25,15
Wyvern Lord (F),60,25,26,24,30,27,23,25,15
Sage (M),60,28,30,26,30,21,25,20,15
Sage (F),60,30,28,26,30,21,25,20,15
Sage (Limstella),60,30,28,26,30,30,30,20,15
Bishop (M),60,25,26,24,30,22,30,25,15
Bishop (F),60,25,25,26,30,21,30,25,15
Druid (M),60,29,26,26,30,21,28,20,15
Druid (F),60,29,26,26,30,20,29,20,15
Warrior,60,30,28,26,30,26,22,20,15
Berserker,60,30,29,28,30,23,21,20,15
Falcoknight,60,23,25,28,30,23,26,25,15
Valkyrie,60,25,24,25,30,24,28,25,15
Magic Seal,60,28,30,25,30,20,25,20,15
Archsage,60,30,30,25,30,20,30,20,15
Dark Druid,60,30,28,26,30,30,30,25,15
Bramimond,60,30,30,25,30,20,30,20,15
Fire Dragon,60,30,30,30,30,30,30,25,15
