Name,Item
Lucius,Guiding Ring
Wallace,Knight Crest
Eliwood,Heaven Seal
Lowen,Knight Crest
Rebecca,Orion’s Bolt
Dorcas,Hero Crest
Bartre,Hero Crest
Hector,Heaven Seal
Oswin,Knight Crest
Serra,Guiding Ring
Matthew,Fell Contract
Guy,Hero Crest
Erk,Guiding Ring
Priscilla,Guiding Ring
Lyn,Heaven Seal
Wil,Orion’s Bolt
Kent,Knight Crest
Sain,Knight Crest
Florina,Elysian Whip
Raven,Hero Crest
Lucius,Guiding Ring
Canas,Guiding Ring
Dart,Ocean Seal
Fiora,Elysian Whip
Legault,Fell Contract
Heath,Elysian Whip
Rath,Orion’s Bolt
Farina,Elysian Whip
Nino,Guiding Ring
