Name,Item
Eirika,Lunar Brace
Franz,Knight Crest
Gilliam,Knight Crest
Vanessa,Elysian Whip
Moulder,Guiding Ring
Garcia,Hero Crest
Neimi,Orion's Bolt
Colm,Ocean Seal
Artur,Guiding Ring
Lute,Guiding Ring
Natasha,Guiding Ring
Joshua,Hero Crest
Ephraim,Solar Brace
Forde,Knight Crest
Kyle,Knight Crest
Tana,Elysian Whip
Gerik,Elysian Whip
Marisa,Elysian Whip
L'Arachel,Guiding Ring
Cormag,Elysian Whip
Knoll,Guiding Ring
Cavalier (F),Knight Crest
Knight (F),Knight Crest
Recruit (2),Knight Crest
Mage (M),Guiding Ring
Shaman (M),Guiding Ring
Pupil (2),Guiding Ring
Fighter,Hero Crest
Pirate,Ocean Seal
Journeyman (2),Hero Crest
