Name,Lead,MS,PC
Leaf,0,1,2
Fin,1,0,1
Evayle,1,2,1
Halvan,0,0,4
Othin,0,0,3
Dagda,0,1,1
Tania,0,0,2
Marty,0,0,1
Ronan,0,3,1
Rifis,0,2,0
Safy,0,0,1
Brighton,0,0,1
Machua,0,0,3
Lara,0,1,1
Felgus,0,1,5
Karin,0,0,1
Dalsin,0,0,1
Asvel,0,1,3
Nanna,0,0,1
Hicks,0,0,2
Shiva,0,1,4
Carrion,0,1,4
Selphina,0,0,1
Kein,0,0,1
Alva,0,0,1
Robert,0,1,3
Fred,0,0,1
Olwen,0,1,4
Mareeta,0,1,5
Salem,0,0,1
Pahn,0,5,5
Tina,0,5,1
Trewd,0,1,1
Glade,1,0,1
Dean,0,2,3
Eda,0,0,1
Homeros,0,1,5
Linoan,0,0,5
Ralph,0,0,1
Eyrios,0,1,0
Sleuf,0,3,0
Sara,0,5,0
Miranda,0,0,1
Shanam,0,0,0
Misha,0,1,2
Xavier,1,0,0
Amalda,1,1,2
Conomore,1,1,2
Delmud,0,0,5
Cyas,3,3,0
Sety,1,2,3
Galzus,0,5,3
