Name,Mt,Wt,Hit,Rng,Rank,Worth,Uses,Effects
Iron Sword,6,3,80,1,C,1000,50,–
Steel Sword,10,3,80,1,B,3000,50,–
Silver Sword,14,3,80,1,A,5000,50,–
Iron Blade,12,6,60,1,A,2000,50,–
Steel Blade,16,6,60,1,A,6000,50,–
Silver Blade,20,6,60,1,A,10000,50,–
Prayer Sword,12,3,70,1,C,8000,50,"Female only, gives Prayer skill"
Thief Sword,3,2,50,1,C,1000,50,Gives Steal skill
Barrier Sword,10,3,70,1,C,12000,50,Mdf +7
Berserk Sword,8,12,70,1,C,10000,50,May inflict berserk status on the enemy
Hero Sword,12,3,100,1,B,8000,50,Allows 2 consecutive hits
Silence Sword,8,12,70,1,C,15000,50,"May inflict silence status on the enemy, unused"
Sleep Sword,8,12,70,1,C,15000,50,May inflict sleep status on the enemy
Slim Sword,8,1,90,1,C,3000,50,–
Defender Sword,12,5,90,1,C,12000,50,Def +7
Flame Sword,12,5,70,1~2,C,10000,50,Casts Elfire from range
Earth Sword,12,5,70,1~2,C,10000,10,"Saps HP from enemy, casts Resire from range, negates Big Shield"
Thunder Sword,12,5,70,1~2,C,10000,50,Casts Elthunder from range
Wind Sword,12,5,70,1~2,C,10000,50,Casts Elwind from range
Light Sword,12,5,70,1~2,C,12000,50,Casts Lightning from range
Mistoltin,30,5,80,1,*,50000,50,"Skl +20, Mdf +10, gives Critical skill"
Tilfing,30,7,80,1,*,50000,50,"Skl +10, Spd +10, Mdf +20, gives Prayer skill"
Balmunk,30,3,90,1,*,50000,50,"Skl +10, Spd +20"
Armour Cutter,6,5,70,1,B,5000,50,Effective against armoured units
Wing Clipper,6,5,70,1,B,5000,50,Effective against flying units
Broken Sword,0,30,30,1,A,1000,0,–
Broken Sword,0,30,30,1,B,1000,0,–
Broken Sword,0,30,30,1,C,1000,0,–
Broken Sword,0,30,30,1,*,1000,0,–
