Name,Rank,Worth,Mt,Hit,Crt,Rng,Wt,Use,Notes
Iron Bow,E,2200,7,65,0,2,6,40,–
Poison Bow,E,–,4,55,0,2,6,40,"Poisons on contact, becomes Iron Bow when stolen"
Short Bow,E,800,5,75,0,2,6,20,–
Steel Bow,D,3200,10,60,0,2,12,30,–
Long Bow,D,1400,10,65,0,2,11,20,–
Great Bow,C,2200,18,55,0,2,16,20,–
Silver Bow,B,4000,15,70,0,2,9,20,–
Killer Bow,B,3200,11,70,30,2,9,20,–
Hero Bow,B,–,14,95,20,2,10,60,Allows 2 consecutive hits
Master Bow,A,3000,13,65,0,2,14,20,Allows 2 consecutive hits
Long Arch,*,2200,15,75,0,3~10,20,10,Long Arch (class) only
Iron Arch,*,4200,20,75,0,3~15,20,10,Iron Arch (class) only
Poison Arch,*,–,10,50,0,3~10,20,10,"Poison Arch (class) only, poisons on contact, becomes Long Arch when stolen"
Broken Bow,E,200,0,0,0,2,12,–,–
