Name,Rank,Worth,Mt,Hit,Crt,Rng,Wt,Use,Notes
Iron Lance,E,2200,7,70,0,1,9,40,–
Slim Lance,E,2000,4,100,5,1,6,20,–
Poison Lance,E,–,4,70,0,1,9,25,"Poisons on contact, becomes Iron Lance when stolen"
Short Lance,E,800,5,70,0,1,8,20,–
Darkness Lance,E,200,20,60,0,1~2,20,60,"Unused, gives Awareness skill"
Steel Lance,D,3200,10,65,0,1,15,30,–
Long Lance,D,1400,11,65,0,1,13,20,–
Javelin,D,1200,6,50,0,1~2,12,20,–
Great Lance,C,2200,18,60,0,1,18,20,–
Silver Lance,B,4000,15,75,0,1,10,20,–
Knight Killer,B,3000,14,60,0,1,13,20,Effective against horseback units
Killer Lance,B,3000,12,80,30,1,10,20,–
Gaebolg,B,200,20,100,50,1~2,2,90,"Unused, Str +10, gives Charisma, Ambush, Awareness and Wrath skills"
Gungnir,B,200,20,100,70,1,1,90,"Unused, Def +10, gives Ambush, Awareness, Wrath and Elite skills"
Master Lance,A,3400,14,55,0,1~2,16,20,Allows 2 consecutive hits
Dragon Lance,*,–,16,65,0,1,12,60,"Dean only, allows 2 consecutive hits, gives Ambush skill"
Hero Lance,*,–,13,70,10,1,9,60,"Fin only, allows 2 consecutive hits, Luck +10"
Broken Lance,E,200,0,0,0,1,15,–,–
