Name,Rank,Rng,Wt,Mt,Hit,Crt,Uses,Worth,WEx,Effects
Iron Bow,E,2,5,6,85,0,45,540,1,–
Emblem Bow,E,2,5,6,85,0,60,–,1,(Mario Kart: Double Dash!! bonus disk only)
Ballista,E,3~10,20,8,70,0,5,–,4,Cannot be countered
Killer Ballista,E,3~10,20,12,65,10,5,–,4,Cannot be countered
Iron Ballista,E,3~15,20,13,60,0,5,–,4,Cannot be countered
Poison Bow,D,2,5,4,65,0,40,–,1,Poisons on contact
Short Bow,D,2,3,5,85,10,22,1760,2,–
Longbow,D,2~3,10,5,65,0,20,2000,1,–
Steel Bow,D,2,9,9,70,0,30,720,1,–
Killer Bow,C,2,7,9,75,30,20,1400,1,–
Brave Bow,B,2,12,10,70,0,30,7500,1,Allows 2 consecutive hits
Silver Bow,A,2,6,13,75,0,20,1600,1,–
Rienfleche,S,2,7,20,80,0,25,15000,1,–
