Name,Rank,Mt,Hit,Crt,Wt,Rng,Uses,Worth,WEx,Notes
Iron Axe,E,8,75,0,10,1,45,270,1,–
Practice Axe,E,8,150,0,4,1,–,225,1,Cannot critical
Hand Axe,E,7,55,0,13,1~2,25,375,1,–
Steel Axe,E,11,65,0,15,1,35,420,2,–
Devil Axe,E,18,55,0,18,1,20,900,8,(Cannot be obtained without codes)
Venin Axe,D,5,60,0,11,1,40,360,1,Poisons on contact
Hammer,D,10,55,0,20,1,20,800,2,Effective against armoured units
Poleax,D,10,60,0,18,1,18,810,2,Effective against horseback units
Short Axe,C,10,65,0,13,1~2,15,1500,2,–
Killer Axe,C,12,65,30,12,1,20,1000,2,–
Laguz Axe,C,13,65,0,16,1,15,5250,2,Effective against Laguz units
Bolt Axe,B,10,70,0,12,1~2,25,3750,2,"Does Thunder-based magical damage, effective against dragon Laguz"
Brave Axe,B,10,65,0,20,1,30,5250,1,Allows 2 consecutive hits
Tomahawk,B,13,65,0,17,1~2,15,5550,2,–
Silver Axe,A,16,70,0,14,1,25,1250,2,–
Urvan,S,18,70,5,18,1,20,–,2,Resistance +3 (Cannot be obtained without codes)
