Name,Rank,Mt,Hit,Crt,Wt,Rng,Uses,Worth,WEx,Note
Iron Bow,E,6,85,0,5,2,45,540,1,–
Ballista,E,18,100,0,20,3~10,5,–,4,"Archers/Snipers only, ignores user’s Str"
Long B,E,22,90,0,20,3~15,5,–,4,"Archers/Snipers only, ignores user’s Str"
Killer B,E,20,95,10,20,3~10,5,–,4,"Archers/Snipers only, ignores user’s Str"
Onager,E,20,255,0,20,3~10,5,–,4,"Archers/Snipers only, ignores user’s Str, damages surrounding enemies, always hits, cannot critical"
Venin Bow,D,4,65,0,5,2,40,600,1,Poisons on contact
Longbow,D,5,65,0,10,2~3,20,2000,2,Archers/Snipers only
Steel Bow,D,9,70,0,9,2,35,840,2,–
Killer Bow,C,9,75,30,7,2,15,1050,2,–
Laguz Bow,C,10,75,0,10,2,15,1950,2,Effective against Laguz units
Brave Bow,B,10,70,0,12,2,30,5850,1,Allows 2 consecutive hits
Bright Bow,B,10,70,0,9,1~2,25,5750,1,Does Light-based magical damage (Cannot be obtained without codes)
Silver Bow,A,13,75,0,6,2,25,2000,2,–
Double Bow,S,7,65,0,10,4,20,–,2,"Snipers only, Strength +3"
Rolf’s Bow,–,8,100,5,2,2,45,–,2,Rolf only
